studyName,cruise,cycle,"size_fraction (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)",chl_phaeo_mean,chl_phaeo_std,chl_phaeo_n,chl_phaeo_95cl,int_chl_phaeo_mean,int_chl_phaeo_std,int_chl_phaeo_n,int_chl_phaeo_95cl,grazing_rate_mean,grazing_rate_std,grazing_rate_n,grazing_rate_95cl,"int_grazing_rate_mean (µg/m²/day)","int_grazing_rate_std (µg/m²/day)",int_grazing_rate_n,"int_grazing_rate_95cl (µg/m²/day)","int_grazing_rate_mg_mean (mg/m²/day)","int_grazing_rate_mg_std (mg/m²/day)",int_grazing_rate_mg_n,"int_grazing_rate_mg_95cl (mg/m²/day)","mass_specific_grazing_mean (ug/mg)","mass_specific_grazing_std (ug/mg)",mass_specific_grazing_n,"mass_specific_grazing_95cl (ug/mg)",mass_specific_grazing_rate_mean,mass_specific_grazing_rate_std,mass_specific_grazing_rate_n,mass_specific_grazing_rate_95cl
P1604,P1604,4,Total,Night,49.2203,,1,,10726.2,,1,,0.606911,,1,,132.26,,1,,1.34534,,1,,7036.33,,1,,7.03633,,1,,0.0123305,,1,,0.655994,,1,
P1604,P1604,4,5,"D-N average",1.97036,1.4304,2,12.8517,428.786,312.565,2,2808.29,0.00235699,0.00164053,2,0.0147396,0.512893,0.358567,2,3.2216,0.00522474,0.00363657,2,0.0326733,27.2863,19.0761,2,171.392,0.0272863,0.0190761,2,0.171392,0.00121387,0.0000486171,2,0.000436807,0.0645789,0.00258647,2,0.0232385
P1604,P1604,4,2,"D-N average",5.00657,1.69913,2,15.2661,1087.17,364.792,2,3277.53,0.0394355,0.0471322,2,0.423466,8.59008,10.2766,2,92.3314,0.0874167,0.104478,2,0.938698,456.999,546.723,2,4912.11,0.456999,0.546723,2,4.91211,0.0100532,0.0128259,2,0.115236,0.534837,0.682349,2,6.13067
P1604,P1604,4,1,"D-N average",50.849,27.461,2,246.727,11037.2,5922.28,2,53209.6,0.474515,0.171575,2,1.54154,103.035,36.8636,2,331.207,1.05186,0.380332,2,3.41714,5481.56,1961.18,2,17620.5,5.48156,1.96118,2,17.6205,0.00985833,0.00194978,2,0.0175181,0.524472,0.10373,2,0.931976
P1604,P1604,4,0.5,"D-N average",14.5037,8.29103,2,74.492,3147.97,1788.81,2,16071.8,0.151658,0.0571102,2,0.513115,32.9297,12.2759,2,110.295,0.33618,0.126596,2,1.13742,1751.89,653.089,2,5867.77,1.75189,0.653089,2,5.86777,0.0111534,0.00243817,2,0.0219061,0.593368,0.129713,2,1.16542
P1604,P1604,4,0.2,"D-N average",4.36306,2.83119,2,25.4372,946.833,611.355,2,5492.8,0.066702,0.000761786,2,0.00684437,14.4939,0.106587,2,0.957649,0.147859,0.00168865,2,0.0151719,771.086,5.67053,2,50.9477,0.771086,0.00567053,2,0.0509477,0.0192931,0.0123447,2,0.110913,1.02641,0.656748,2,5.90065
P1604,P1604,4,Total,"D-N average",76.6927,38.852,2,349.071,16648,8374.67,2,75243.4,0.734667,0.180675,2,1.6233,159.562,38.611,2,346.906,1.62854,0.400502,2,3.59837,8488.82,2054.14,2,18455.7,8.48882,2.05414,2,18.4557,0.0103049,0.00286458,2,0.0257372,0.548232,0.152398,2,1.36924
P1706,P1706,1,5,Day,8.96554,7.29313,3,18.1171,1929.26,1591.01,3,3952.28,0.099671,0.0241625,3,0.0600231,21.278,5.52756,3,13.7312,0.199584,0.0483838,3,0.120192,1022.58,265.645,3,659.898,1.02258,0.265645,3,0.659898,0.0186968,0.0163842,3,0.0407006,0.898535,0.787397,3,1.956
P1706,P1706,1,2,Day,11.8268,8.4783,3,21.0613,2542.7,1851.36,3,4599.03,0.204784,0.0709154,3,0.176164,43.8066,15.8054,3,39.2629,0.410065,0.142003,3,0.352755,2105.27,759.582,3,1886.91,2.10527,0.759582,3,1.88691,0.0233177,0.012803,3,0.0318045,1.12061,0.615292,3,1.52847
P1706,P1706,1,1,Day,10.6007,10.496,3,26.0735,2227.21,2166.95,3,5383.01,0.429474,0.0542967,3,0.134881,91.4435,11.6988,3,29.0613,0.85999,0.108725,3,0.270089,4394.62,562.222,3,1396.64,4.39462,0.562222,3,1.39664,0.0748425,0.061895,3,0.153756,3.5968,2.97457,3,7.38924
P1706,P1706,1,0.5,Day,6.02629,1.10269,3,2.73922,1284.61,246.271,3,611.771,0.315142,0.106764,3,0.265217,67.2357,23.6112,3,58.6535,0.631049,0.213788,3,0.531078,3231.23,1134.72,3,2818.79,3.23123,1.13472,3,2.81879,0.0546118,0.0231913,3,0.0576104,2.62455,1.11453,3,2.76866
